X,Y,R,G,B,Temperature_C
0,128,231,98,106,1385.9405940594058
0,129,231,98,106,1385.049504950495
0,130,231,98,106,1384.1584158415842
0,131,231,95,104,1383.2673267326732
0,132,231,95,104,1382.3762376237623
0,133,231,95,104,1381.4851485148515
0,134,231,95,104,1380.5940594059407
0,135,231,91,102,1379.7029702970297
0,136,231,91,102,1378.8118811881188
0,137,231,91,102,1377.920792079208
0,138,231,91,102,1377.029702970297
0,139,231,91,102,1376.1386138613861
0,140,231,88,100,1375.2475247524753
0,141,231,88,100,1374.3564356435643
0,142,231,88,100,1373.4653465346535
0,143,231,88,100,1372.5742574257426
0,144,231,84,98,1371.6831683168316
0,145,231,84,98,1370.7920792079208
0,146,231,84,98,1369.90099009901
0,147,231,84,98,1369.0099009900991
0,148,231,80,97,1368.118811881188
0,149,231,80,97,1367.2277227722773
0,150,231,80,97,1366.3366336633662
0,151,231,80,97,1365.4455445544554
0,152,231,76,95,1364.5544554455446
0,153,231,76,95,1363.6633663366338
0,154,231,76,95,1362.7722772277227
0,155,231,76,95,1361.881188118812
0,156,231,72,93,1360.990099009901
0,157,231,72,93,1360.09900990099
0,158,231,72,93,1359.2079207920792
0,159,231,72,93,1358.3168316831684
0,160,231,72,93,1357.4257425742574
0,161,231,68,92,1356.5346534653465
0,162,231,68,92,1355.6435643564357
0,163,231,68,92,1354.7524752475247
0,164,231,68,92,1353.8613861386139
0,165,231,63,90,1352.970297029703
0,166,231,63,90,1352.079207920792
0,167,231,63,90,1351.1881188118812
0,168,231,63,90,1350.2970297029703
0,169,231,59,89,1349.4059405940593
0,170,231,59,89,1348.5148514851485
0,171,231,59,89,1347.6237623762377
0,172,231,59,89,1346.7326732673268
0,173,231,54,87,1345.8415841584158
0,174,231,54,87,1344.950495049505
0,175,231,54,87,1344.0594059405942
0,176,231,54,87,1343.1683168316831
0,177,231,50,85,1342.2772277227723
0,178,231,50,85,1341.3861386138615
0,179,231,50,85,1340.4950495049504
0,180,231,50,85,1339.6039603960396
0,181,231,50,85,1338.7128712871288
0,182,231,45,83,1337.8217821782177
0,183,231,45,83,1336.930693069307
0,184,231,45,83,1336.039603960396
0,185,231,45,83,1335.148514851485
0,186,231,41,81,1334.2574257425742
0,187,231,41,81,1333.3663366336634
0,188,231,41,81,1332.4752475247524
0,189,231,41,81,1331.5841584158416
0,190,231,37,80,1330.6930693069307
0,191,231,37,80,1329.80198019802
0,192,231,37,80,1328.9108910891089
0,193,231,37,80,1328.019801980198
0,194,231,34,78,1327.128712871287
0,195,231,34,78,1326.2376237623762
0,196,231,34,78,1325.3465346534654
0,197,231,34,78,1324.4554455445545
0,198,231,31,76,1323.5643564356435
0,199,231,31,76,1322.6732673267327
0,200,231,31,76,1321.7821782178219
0,201,231,31,76,1320.8910891089108
0,202,231,31,76,1320.0
0,203,231,29,74,1319.1089108910892
0,204,231,29,74,1318.2178217821781
0,205,231,29,74,1317.3267326732673
0,206,231,29,74,1316.4356435643565
0,207,231,27,73,1315.5445544554455
0,208,231,27,73,1314.6534653465346
0,209,231,27,73,1313.7623762376238
0,210,231,27,73,1312.871287128713
0,211,231,25,71,1311.980198019802
0,212,231,25,71,1311.0891089108911
0,213,231,25,71,1310.19801980198
0,214,231,25,71,1309.3069306930693
0,215,231,23,69,1308.4158415841584
0,216,231,23,69,1307.5247524752476
